921,1,922,76,2,78
236,5,241,45,3,48
374,5,379,59,5,64
999,12,1011,61,9,70
174,3,177,51,19,70
193,10,203,39,21,60
184,45,229,43,36,79
637,306,943,85,93,178
274,0,274,37,17,54
201,41,242,39,50,89
217,81,298,46,132,178
405,651,1056,45,278,323
183,1,184,45,34,79
157,8,165,33,38,71
193,443,636,51,153,204
492,1462,1954,104,386,490
